"Player                                             ▾","2024 Salary","2024 Signing","G","MIN","USG%","PPP","ppsa","EFG%","FT Rate","3P Rate","% Pts FT","% Pts 2P","% Pts 3P","ORB%","DRB%","TRB%","AST%","TOV%","AST/TOV","STL%","BLK%","PF%"
"Destanni Henderson                                                                                   D Henderson","$8,892","Hardship","6","105","17.6%","0.57","0.75","36.2%","13.6%","31.3%","12.5%","75.0%","12.5%","0.0%","12.6%","6.2%","23.4%","23.8%","1.50","0.9%","0.8%","2.1%"
"Mikiah Herbert Harrigan                                                                                   M Herbert Harrigan","$64,154","UFA","31","336","14.9%","0.90","1.04","51.2%","21.4%","55.3%","11.2%","36.7%","52.0%","5.5%","10.0%","7.8%","4.5%","13.8%","0.60","2.0%","2.9%","3.6%"
"Natisha Hiedeman                                                                                   N Hiedeman","$120,000","RFA","40","607","19.0%","0.77","0.94","44.0%","12.0%","39.6%","12.9%","51.5%","35.6%","3.0%","8.8%","5.9%","24.9%","17.5%","2.16","2.3%","0.9%","3.6%"
"Naz Hillmon                                                                                   N Hillmon","$71,124","Rookie","40","868","11.7%","1.00","1.21","55.5%","14.4%","1.6%","21.0%","77.7%","1.3%","8.2%","17.7%","12.8%","10.3%","16.7%","1.37","1.5%","1.2%","2.9%"
"Myisha Hines-Allen                                                                                   M Hines-Allen","$180,200","RFA","40","746","20.0%","0.95","1.15","52.9%","13.0%","18.3%","17.6%","65.2%","17.3%","6.8%","23.3%","15.0%","23.9%","17.0%","1.82","1.6%","0.5%","4.9%"
"Joyner Holmes                                                                                   J Holmes","$61,380","UFA","27","231","19.7%","0.76","0.95","46.2%","9.6%","37.3%","8.9%","68.4%","22.8%","6.8%","17.4%","12.2%","16.7%","20.2%","1.19","1.2%","2.3%","5.4%"
"Jordan Horston                                                                                   J Horston","$69,663","--","39","871","15.5%","0.86","1.09","52.2%","9.9%","21.3%","11.7%","73.7%","14.7%","6.0%","16.1%","11.0%","12.5%","21.3%","1.05","2.5%","2.6%","3.7%"
"Natasha Howard                                                                                   N Howard","$234,350","Core","27","825","27.9%","0.87","1.02","47.0%","13.6%","11.8%","18.8%","74.3%","7.0%","7.4%","19.3%","13.1%","16.2%","14.0%","1.03","1.8%","2.2%","4.5%"
"Rhyne Howard                                                                                   R Howard","$80,943","Rookie","30","1,018","24.8%","0.92","1.01","46.0%","23.3%","47.4%","20.2%","33.5%","46.2%","2.7%","12.3%","7.4%","17.7%","9.0%","1.84","2.4%","1.7%","2.8%"
"Lexie Hull                                                                                   L Hull","$77,669","Rookie","34","671","12.0%","1.01","1.19","56.3%","23.3%","44.9%","17.7%","29.0%","53.2%","6.0%","8.5%","7.3%","7.5%","15.7%","1.24","1.4%","1.4%","5.5%"
"Sabrina Ionescu                                                                                   S Ionescu","$202,000","--","38","1,221","27.9%","0.90","1.05","48.2%","15.7%","48.8%","15.3%","38.2%","46.5%","2.7%","13.1%","8.1%","33.7%","13.6%","2.26","1.4%","0.9%","1.7%"
"Rickea Jackson                                                                                   R Jackson","$76,535","Rookie","40","1,152","21.6%","0.95","1.10","50.5%","13.0%","25.5%","17.2%","58.7%","24.1%","5.3%","10.9%","8.1%","9.7%","13.5%","0.78","1.0%","1.0%","2.7%"
"Moriah Jefferson                                                                                   M Jefferson","$141,500","UFA","23","184","13.1%","0.56","0.66","26.2%","17.9%","40.4%","29.0%","32.3%","38.7%","1.8%","4.1%","2.9%","25.0%","14.5%","3.75","2.0%","0.0%","4.3%"
"Brionna Jones                                                                                   B Jones","$212,000","Core","40","1,087","22.1%","1.04","1.15","54.0%","14.7%","2.9%","19.5%","79.4%","1.1%","9.5%","15.7%","12.5%","10.7%","9.7%","1.18","2.0%","2.0%","4.5%"
"Haley Jones                                                                                   H Jones","$72,727","--","40","712","14.6%","0.66","0.93","41.8%","14.5%","16.9%","21.3%","67.1%","11.6%","1.5%","12.7%","7.0%","19.4%","29.1%","1.24","0.9%","1.4%","5.0%"
"Jonquel Jones                                                                                   J Jones","$190,000","UFA","39","1,164","20.0%","1.06","1.29","61.6%","17.2%","35.1%","14.8%","53.2%","32.0%","6.8%","27.3%","17.3%","18.4%","17.6%","1.37","1.2%","3.7%","4.4%"
"Dorka Juhász                                                                                   D Juhász","$66,597","--","34","547","14.4%","0.94","1.07","51.7%","6.8%","22.4%","8.0%","71.6%","20.4%","7.0%","20.5%","13.9%","10.6%","12.1%","1.71","1.2%","2.1%","3.2%"
"Ezinne Kalu                                                                                   E Kalu","$1,270","Hardship","1","13","11.1%","1.00","1.00","33.3%","0.0%","33.3%","33.3%","66.7%","0.0%","0.0%","9.1%","5.0%","0.0%","0.0%","--","3.7%","0.0%","14.8%"
"Sika Koné                                                                                   S Koné","$64,154","--","27","217","24.1%","0.94","1.07","45.2%","17.2%","7.0%","29.0%","59.8%","11.2%","7.7%","22.8%","15.3%","9.8%","12.3%","0.86","1.2%","0.8%","5.1%"
"Lou Lopez Sénéchal                                                                                   L Lopez Sénéchal","$72,727","Rookie","27","125","14.5%","0.60","0.69","33.8%","9.5%","41.7%","8.0%","56.0%","36.0%","2.8%","7.7%","5.2%","12.2%","14.3%","1.67","1.0%","0.0%","4.5%"
"Jewell Loyd                                                                                   J Loyd","$241,984","Core","37","1,246","28.6%","0.89","0.99","40.8%","21.4%","29.3%","30.5%","45.3%","24.3%","2.3%","12.9%","7.5%","18.5%","10.4%","1.59","1.8%","0.5%","2.3%"
"Marina Mabrey                                                                                   M Mabrey","$217,592","RFA","40","1,235","22.5%","0.90","1.06","50.8%","9.2%","47.8%","8.5%","40.3%","51.1%","2.0%","14.7%","8.2%","22.7%","14.7%","1.73","1.6%","1.2%","3.7%"
"Natasha Mack                                                                                   N Mack","$64,154","UFA","40","619","11.7%","0.96","1.16","57.3%","6.2%","2.3%","7.2%","92.8%","0.0%","11.5%","24.9%","18.4%","12.2%","17.5%","1.57","1.9%","6.8%","3.9%"
"Ezi Magbegor                                                                                   E Magbegor","$155,000","Reserved","37","1,135","16.5%","1.01","1.15","53.1%","12.4%","14.1%","17.6%","73.4%","9.0%","8.1%","21.7%","14.8%","10.7%","12.4%","1.40","1.5%","6.2%","4.5%"
"Kate Martin                                                                                   K Martin","$67,249","--","34","392","13.2%","0.76","0.93","43.2%","18.8%","66.0%","12.6%","11.5%","75.9%","1.8%","13.8%","7.8%","10.8%","18.3%","1.43","0.8%","1.7%","3.3%"
"Kayla McBride                                                                                   K McBride","$208,000","UFA","39","1,237","20.6%","1.05","1.22","54.7%","29.7%","53.8%","22.7%","23.5%","53.8%","1.4%","7.8%","4.7%","16.7%","14.1%","1.59","1.8%","0.1%","1.7%"
"Teaira McCowan                                                                                   T McCowan","$195,700","RFA","39","983","19.7%","1.00","1.21","57.1%","15.2%","1.1%","19.4%","79.9%","0.7%","13.4%","25.2%","19.2%","10.4%","16.7%","0.80","1.5%","2.9%","5.2%"
"Aari McDonald                                                                                   A McDonald","$89,302","Rookie","26","568","20.5%","0.86","1.06","47.9%","18.7%","42.5%","19.0%","42.5%","38.5%","2.5%","8.6%","5.5%","30.3%","18.3%","2.00","1.8%","0.9%","4.1%"
"Jade Melbourne                                                                                   J Melbourne","$64,154","--","37","525","21.3%","0.80","1.06","49.4%","16.7%","29.8%","17.6%","52.3%","30.2%","2.9%","9.9%","6.3%","19.3%","24.8%","0.95","2.0%","0.9%","4.6%"
