Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Aaliyah Edwards,WAS,F,34,741,34,741,13.4,.526,.490,.033,.381,7.6,15.4,11.1,1.7,3.4,16.9,18.1,99,101,,0.3,1.2,1.6,.085
Emily Engstler,WAS,F,32,464,32,464,21.7,.598,.577,.368,.142,11.1,16.5,18.2,2.1,4.9,11.8,18.2,118,99,,1.5,0.9,2.3,.202
Olivia Époupa,MIN,G,17,114,17,114,11.2,.415,.375,.000,.125,6.4,9.7,32.9,6.3,0.0,47.1,12.9,84,90,,-0.2,0.4,0.2,.079
Dana Evans,CHI,G,39,743,39,743,11.4,.509,.458,.433,.198,0.7,3.3,20.6,1.8,0.6,16.2,19.3,99,109,,0.4,0.3,0.7,.040
Temi Fagbenle,IND,C,22,415,22,415,12.6,.554,.518,.105,.246,8.9,14.7,7.5,1.3,3.2,17.6,16.4,104,108,,0.4,0.2,0.7,.067
Dyaisha Fair,LVA,G,1,4,1,4,-2.7,.000,.000,.500,.000,0.0,0.0,64.9,0.0,0.0,0.0,23.1,53,111,,0.0,0.0,0.0,-0.333
Dulcy Fankam Mendjiadeu,SEA,F-C,7,36,7,36,4.3,.532,.667,.000,2.000,12.5,14.2,3.9,0.0,0.0,34.7,10.5,88,105,,0.0,0.0,0.0,.011
Leonie Fiebich,NYL,F,40,837,40,837,13.7,.624,.613,.626,.123,5.5,8.4,12.8,2.3,0.7,16.1,13.7,115,100,,1.7,1.5,3.3,.155
Kysre Gondrezick,CHI,G,5,16,5,16,10.6,.357,.357,.857,.000,6.8,7.1,20.2,12.8,0.0,30.0,27.4,64,85,,-0.1,0.1,0.0,-0.101
Allisha Gray,ATL,G,40,1330,40,1330,16.0,.526,.471,.397,.365,3.7,7.5,15.1,1.6,2.0,10.2,22.4,106,104,,2.2,1.5,3.8,.113
Chelsea Gray,LVA,G,27,702,27,702,14.0,.513,.471,.374,.233,0.8,6.5,28.9,2.4,2.3,22.0,19.1,97,101,,0.2,1.2,1.3,.074
Brittney Griner,PHO,C,30,861,30,861,26.0,.625,.591,.048,.296,7.5,13.3,17.1,1.0,4.8,11.0,25.6,117,107,,3.4,0.6,4.0,.187
